id;exam_code;exam_result;exam_date;exam_grade;is_eligibile;exported
1;695;16465;2019-12-02T21:45:20;53408;41741;false
2;22210;69243;2019-12-03T07:08:12;26941;33761;false
3;94290;16829;2019-12-03T02:15:24;21876;51879;true
4;70301;40383;2019-12-03T01:17:11;6489;97178;false
5;96244;24687;2019-12-03T03:58:14;69630;49724;true
6;30087;14808;2019-12-03T03:10:38;99774;3688;false
7;60956;97661;2019-12-02T21:56:57;41103;5147;false
8;27864;34507;2019-12-02T12:12:55;63435;23956;true
9;14489;53093;2019-12-02T22:16:00;44778;98565;true
10;24205;59269;2019-12-02T17:52:56;8085;76161;false
